species	sample_00	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08	sample_09	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49
Erwinia phage vB_EamM_Caitlin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19452	0.0	7.69564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.242839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.096638	0.0	0.0	0.0	0.0
Cryptophlebia leucotreta granulovirus	0.061368	0.0	1.591594	2.32157	0.0	0.0	0.0	0.0	0.410862	0.0	1.676895	0.0	1.38478	0.061368	0.0	0.245474	0.0	0.0	0.103713	0.061368	1.307149	0.0	0.0	0.0	15.138697	0.18073	0.289967	0.0	0.0	0.636699	0.183492	3.49126	0.0	5.694689	0.061368	2.207733	3.051242	0.0	0.360847	2.575637	0.0	0.0	0.349801	0.0	0.158637	0.0	0.0	1.109542	0.060755	0.0
Thermobifida phage P1312	0.8244349999999999	0.014793	0.056168666666666665	0.0	0.14350100000000002	0.4438686666666667	1.5111526666666666	0.0	0.0	0.0	0.0	0.014868333333333332	0.0	0.08357733333333334	0.2883976666666666	0.045055333333333336	0.05707	0.0	0.0	0.0	0.014643000000000002	0.0	0.0	0.015018333333333333	0.5148306666666667	0.0	0.090486	0.040099	0.06296366666666667	0.11481566666666666	0.012240000000000001	0.030036666666666666	0.0	0.012840666666666667	7.1698379999999995	31.344226333333335	0.10482833333333334	0.04107533333333333	0.077032	0.10317633333333333	0.0	0.0	1.3541343333333333	0.35479666666666665	0.0	0.10144933333333334	0.7239620000000001	0.0	0.12037233333333335	0.014492666666666668
Pseudomonas phage Pf-10	0.0	21.553894	1.942905	0.0	1.626999	0.208645	9.797758	231.580044	1.701175	28.135008	5.021876	5.047491	4.212912	0.213447	0.879402	19.634469	588.195453	2.025613	0.0	0.0	7.439709	1.164354	121.61635	0.0	327.2711	1.595516	62.75346	2.140877	11.680896	6.386873	0.316969	4.004268	0.105656	4.131269	0.064034	0.886873	4.127533	0.839382	7.878335	9.958913	24.116856	1.393275	1.892744	4.816969	0.764675	380.667617	2.750266	9.356456	57.371923	44.904469
Stx2-converting phage Stx2a_F765	0.0	0.2878293333333333	0.010281666666666666	0.0	0.16161233333333333	0.07091766666666667	0.051717000000000006	53.85517466666667	0.047758666666666665	0.03403233333333333	1.1407049999999999	0.15589666666666666	0.9950653333333334	0.025970666666666666	0.22209466666666666	1.261954	1.2569916666666667	0.08235633333333334	0.0	0.010281666666666666	0.614179	0.0	49.06178933333334	0.0	41.99477266666667	0.008431	23.481953333333333	0.03829233333333334	0.3104696666666667	0.009922	0.0	0.03829233333333334	0.0	0.23111633333333334	0.03829233333333334	0.0	0.099394	0.0	0.5402096666666667	0.037526333333333335	0.20997966666666668	0.064679	0.0	0.030382333333333334	0.07188033333333334	0.0	0.059138666666666666	0.010076	0.020255	15.126472
Klebsiella variicola	0.023661666666666668	0.052261733333333345	0.022129199999999998	0.0	0.3678308666666667	0.011818799999999999	0.0	0.4943726666666666	0.005332733333333334	0.0	0.0	0.0167408	0.0027988666666666664	0.0	0.0	0.002427333333333333	0.0351618	0.17054666666666665	0.0	0.0	0.16000746666666663	0.0	0.12294673333333334	0.060569066666666664	0.9200678	1.2267622666666667	0.5519020666666667	0.0013059333333333332	0.0	0.009058	0.005558400000000001	0.0	0.8054412666666667	4.092756400000001	0.0	0.0	5.276256266666667	0.26448506666666666	0.0	0.0531984	0.05924820000000001	0.16773913333333335	0.05784973333333334	0.0028129333333333337	0.0027144666666666668	0.0027988666666666664	0.0	0.07177353333333333	0.0	0.0
uncultured crAssphage	0.06636344117647058	30.045907147058823	1.8351288529411764	0.02186305882352941	0.011812029411764706	0.05526223529411764	141.15616741176473	0.006167470588235294	23.911285352941178	0.07349149999999999	0.0	6.749255411764706	0.35173438235294124	0.005280382352941176	3.4632877058823532	0.10592070588235294	0.0	0.0	19.207554647058828	0.05144502941176471	2.054811676470589	0.12176491176470587	882.4622861470588	249.56206555882346	0.0	0.0	0.04479855882352941	0.0	0.05419488235294118	0.8797498235294119	0.3526924411764706	0.021839676470588237	0.012295970588235294	0.04513514705882353	0.026367029411764702	0.10537008823529412	0.0	0.01605320588235294	0.013313529411764707	42.10362191176471	1.782834	124.40489802941177	511.2223624705883	14.579046529411766	0.7173362647058824	0.016662970588235293	1840.2390201176474	323.26615688235296	516.8457468529411	29.191278294117645
Streptococcus phage IPP5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.908894	0.0	0.0	0.111794	0.0	0.0	0.0	0.0	0.111794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Parabacteroides phage YZ-2015b	0.0	0.3414492	0.5118834	0.4562316	2.9626096	0.2753622	0.0	0.0	0.230435	0.0	0.0	0.5681482	0.6953630000000001	0.0	1.8110271999999998	0.057970999999999995	0.0	0.5118844	0.4332264	1.1953626	0.3368118	0.0	0.115652	0.0	0.2898554	0.0	0.0	0.0	0.0	0.0	1.5969996	0.0	0.07402879999999999	0.11594199999999999	3.8097944	0.0	0.057970999999999995	0.6064080000000001	0.0	34.9580064	0.0	0.0	0.0	0.694493	0.0	0.0	0.0	0.0	0.0	0.7194206000000001
Streptococcus mutans	4.356256357142858	0.0	0.0	0.014200500000000001	0.0	0.5024744285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018315	0.0	0.0	0.0	0.0	0.0	0.014200500000000001	0.0	0.9501735714285715	0.0	0.0	0.0	0.0	0.0	0.0	0.3127487857142857	0.0	0.028457571428571426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0208775	0.0	0.0	0.0	0.018223428571428574	0.38680978571428576	0.0
